Index,Timestamp,Symbol,Action,LotID,Amount,Quantity,LimitPrice,TakeProfit,StopLoss,Ready
60,2023-03-13 09:22,LABU,TRADE,,"$100,000",,4.7,4.9,4.5,YES
61,2023-03-14 09:21,QQQ,TRADE,,"$100,000",,290.1,294.0,288.5,YES
62,2023-03-14 09:21,SPY,TRADE,,"$100,000",,387.7,391.5,386.0,YES
63,2023-03-15 09:24,SPY,TRADE,,"$100,000",,383.8,385.5,382.0,YES
64,2023-03-15 09:24,TQQQ,TRADE,,"$100,000",,21.4,22.0,21.0,YES
65,2023-03-16 09:22,SPY,TRADE,,"$100,000",,385.8,387.7,384.5,YES
66,2023-03-16 09:22,SOXL,TRADE,,"$100,000",,14.4,14.8,13.9,YES
67,2023-03-17 09:21,SPY,TRADE,,"$100,000",,391.6,395.5,389.0,YES
68,2023-03-17 09:21,TQQQ,TRADE,,"$100,000",,24.4,25.5,24.0,YES
69,2023-03-17 09:21,LABU,TRADE,,"$100,000",,5.15,5.6,4.9,YES
70,2023-03-20 09:20,TQQQ,TRADE,,"$100,000",,24.3,25.0,24.0,YES
71,2023-03-20 09:20,QQQ,TRADE,,"$100,000",,304.4,306.7,303.0,YES
72,2023-03-21 09:11,QQQ,TRADE,,"$100,000",,304.5,308.0,303.8,YES
73,2023-03-21 09:11,TQQQ,TRADE,,"$100,000",,25.0,25.5,24.9,YES
74,2023-03-21 09:11,SPY,TRADE,,"$100,000",,394.8,396.2,393.0,YES
75,2023-03-21 09:11,SOXL,TRADE,,"$100,000",,16.2,16.8,15.7,YES
76,2023-03-21 09:11,LABU,TRADE,,"$100,000",,5.1,5.4,5.0,YES
77,2023-03-22 09:21,TQQQ,TRADE,,"$100,000",,25.3,26.0,24.6,YES
78,2023-03-22 09:21,SPY,TRADE,,"$100,000",,398.1,400.1,396.7,YES
79,2023-03-22 09:21,LABU,TRADE,,"$100,000",,4.8,5.1,4.7,YES
80,2023-03-23 09:22,QQQ,TRADE,,"$100,000",,306.0,309.2,305.4,YES
81,2023-03-23 09:22,TQQQ,TRADE,,"$100,000",,24.4,25.5,23.8,YES
82,2023-03-23 09:22,SPY,TRADE,,"$100,000",,391.4,394.8,390.0,YES
83,2023-03-23 09:22,SOXL,TRADE,,"$100,000",,16.1,17.1,15.8,YES
84,2023-03-24 09:24,TQQQ,TRADE,,"$100,000",,24.8,25.2,24.3,YES
85,2023-03-24 09:24,SOXL,TRADE,,"$100,000",,16.7,17.2,16.2,YES
86,2023-03-27 09:10,TQQQ,TRADE,,"$100,000",,25.4,26.2,25.0,YES
87,2023-03-27 09:10,SOXL,TRADE,,"$100,000",,16.4,17.0,15.8,YES
88,2023-03-27 09:10,ENPH,TRADE,,"$100,000",,192.2,198.0,191.0,YES
89,2023-03-28 09:23,TQQQ,TRADE,,"$100,000",,24.3,25.2,24.0,YES
90,2023-03-28 09:23,SOXL,TRADE,,"$100,000",,15.3,16.0,15.0,YES
91,2023-03-28 09:23,LABU,TRADE,,"$100,000",,4.5,4.8,4.4,YES
92,2023-03-29 09:23,SOXL,TRADE,,"$100,000",,16.0,16.7,15.7,YES
93,2023-03-29 09:23,LABU,TRADE,,"$100,000",,4.6,4.8,4.4,YES
94,2023-03-30 09:17,QQQ,TRADE,,"$100,000",,310.5,315.0,310.0,YES
95,2023-03-30 09:17,TQQQ,TRADE,,"$100,000",,25.7,26.8,25.0,YES
96,2023-03-30 09:17,SPY,TRADE,,"$100,000",,400.0,404.0,399.3,YES
97,2023-03-30 09:17,SOXL,TRADE,,"$100,000",,17.2,18.0,16.8,YES
98,2023-03-30 09:17,LABU,TRADE,,"$100,000",,4.7,5.0,4.5,YES
99,2023-03-31 09:18,QQQ,TRADE,,"$100,000",,314.8,317.0,314.0,YES
100,2023-03-31 09:18,TQQQ,TRADE,,"$100,000",,26.8,27.3,26.4,YES
101,2023-03-31 09:18,SPY,TRADE,,"$100,000",,403.5,405.4,402.0,YES
102,2023-03-31 09:18,LABU,TRADE,,"$100,000",,4.5,4.8,4.4,YES
103,2023-03-31 09:18,SOXL,TRADE,,"$100,000",,17.5,18.0,17.3,YES
104,2023-04-03 09:21,QQQ,TRADE,,"$100,000",,318.0,319.8,316.7,YES
105,2023-04-03 09:21,SPY,TRADE,,"$100,000",,408.4,409.7,408.0,YES
106,2023-04-03 09:21,TQQQ,TRADE,,"$100,000",,27.5,28.0,26.8,YES
107,2023-04-03 09:21,SOXL,TRADE,,"$100,000",,17.7,18.0,17.5,YES
108,2023-04-04 09:22,TQQQ,TRADE,,"$100,000",,27.7,28.2,27.0,YES
109,2023-04-04 09:22,SPY,TRADE,,"$100,000",,409.5,411.5,408.0,YES
110,2023-04-04 09:22,SOXL,TRADE,,"$100,000",,17.5,18.0,17.0,YES
111,2023-04-04 09:22,LABU,TRADE,,"$100,000",,4.9,5.2,4.7,YES
112,2023-04-04 09:22,QQQ,TRADE,,"$100,000",,318.7,321.0,317.0,YES
113,2023-04-05 09:22,QQQ,TRADE,,"$100,000",,317.8,320.0,316.0,YES
114,2023-04-05 09:22,TQQQ,TRADE,,"$100,000",,27.4,28.0,27.0,YES
115,2023-04-05 09:22,SPY,TRADE,,"$100,000",,406.7,408.3,405.8,YES
116,2023-04-05 09:22,LABU,TRADE,,"$100,000",,4.6,4.8,4.5,YES
